launch_id,date,time,rocket,mission,pad_location,location,status,wx_probability,details_url
721a8641-458c-49ee-8442-2ef5b6fba880,2025-03-15,11:35:10,Falcon 9 Block 5,Starlink Group 12-16,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,99.0,
318df8ac-45a8-402b-a164-8bb7032601fd,2025-03-16,10:49:26,Angara 1.2,"3 x Rodnik (Kosmos 2585, 2586, 2587)","Plesetsk Cosmodrome, Russian Federation",Russia,Launch Successful,,
b9fac3ef-050f-4e6d-9688-f493dbe07815,2025-03-17,08:07:00,Ceres-1,8 satellites,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
ad025362-828f-448c-855d-bfe53e04cdeb,2025-03-18,01:31:00,Electron,High Five (Kinéis 21-25),"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",New Zealand,Launch Successful,,
ff04cc6f-981d-4b55-8368-3b8a59c1120e,2025-03-18,19:57:50,Falcon 9 Block 5,Starlink Group 12-25,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,95.0,
171bf3b5-9b1c-4bd8-b64c-111257d06131,2025-03-21,06:49:00,Falcon 9 Block 5,NROL-57,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
558c07d5-625d-4b83-b7a0-91d3de5797ae,2025-03-21,11:07:00,Ceres-1,Yunyao-1 43-48,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
c985cc7c-25ce-4bff-81ba-3b07334dae42,2025-03-24,17:48:00,Falcon 9 Block 5,NROL-69,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,90.0,
94b4e77e-ac83-4b4b-8508-0443bd8bdecf,2025-03-26,15:30:00,Electron,Finding Hot Wildfires Near You (OroraTech OTC-P1),"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",New Zealand,Launch Successful,,
60ad9119-12a0-4c07-98eb-2302b7c61010,2025-03-26,15:55:00,Long March 3B/E,Tianlian 2-04,"Xichang Satellite Launch Center, People's Republic of China",China,Launch Successful,,
8bfaa532-18e6-4c40-9800-0714b5651f84,2025-03-26,22:11:40,Falcon 9 Block 5,Starlink Group 11-7,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
fe50e1e8-7829-4031-9812-8782a4859720,2025-03-29,16:05:00,Long March 7A,TJSW-16,"Wenchang Space Launch Site, People's Republic of China",China,Launch Successful,,
e652a538-6d40-4b55-97a6-7c757ec4e1e9,2025-03-30,10:30:00,Spectrum,Maiden Flight,Andøya Spaceport,Norway,Launch Failure,,
a0058cfb-c868-44b6-82cb-7f4ed286b272,2025-03-31,19:52:50,Falcon 9 Block 5,Starlink Group 6-80,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,65.0,
8ce07863-00fd-4a90-b3e2-d1811a8f4f9d,2025-04-01,01:46:50,Falcon 9 Block 5,Fram2,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,60.0,
aa591da9-5a59-4ed3-bfc3-284e67bdacd8,2025-04-01,04:00:00,Long March 2D,4 x SatNet test satellites,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
fd941ac6-a408-49b3-b5be-03fb2313651a,2025-04-03,02:12:00,Long March 6,Tianping-3A-02,"Taiyuan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
ac88db1a-3416-4671-8ae5-be14ea825806,2025-04-04,01:02:50,Falcon 9 Block 5,Starlink Group 11-13,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
c6a16e97-3191-49af-af18-5d2111b2dd26,2025-04-06,03:07:20,Falcon 9 Block 5,Starlink Group 6-72,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,99.0,
505662c5-fad1-485c-9e65-b72431443c74,2025-04-07,23:06:10,Falcon 9 Block 5,Starlink Group 11-11,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
a3c9c47e-976e-40a5-8889-30c407131e3a,2025-04-08,05:47:15,Soyuz 2.1a,Soyuz MS-27,"Baikonur Cosmodrome, Republic of Kazakhstan",Kazakhstan,Launch Successful,,
373addc7-d9b5-40a6-a6c2-e4b7116b21f1,2025-04-10,16:47:00,Long March 3B/E,TJSW-17,"Xichang Satellite Launch Center, People's Republic of China",China,Launch Successful,,
88675d6b-d504-4aa6-9175-69a8610a40dd,2025-04-12,12:25:00,Falcon 9 Block 5,NROL-192,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
cfe2177c-6ff0-4ccb-95d5-c8be3510ea65,2025-04-13,00:53:30,Falcon 9 Block 5,Starlink Group 12-17,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,99.0,
af19169f-5738-42b4-be80-bd583293c58f,2025-04-14,04:00:10,Falcon 9 Block 5,Starlink Group 6-73,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,99.0,
18aeb565-fc14-402e-be79-c8b141db209f,2025-04-16,19:33:00,Minotaur IV,NROL-174,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
b38ffcec-db3b-4cbf-8ea1-865915a51f45,2025-04-18,22:51:00,Long March 6A,Shiyan 27 01-06,"Taiyuan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
121ae1a6-dfff-4f31-9111-7841c2f09e86,2025-04-20,12:29:00,Falcon 9 Block 5,NROL-145,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
6f25718d-40d8-4c74-be30-b70674a0dfb3,2025-04-21,08:15:45,Falcon 9 Block 5,Dragon CRS-2 SpX-32,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,95.0,
affb557b-fd5d-4a27-b33e-5e37d03099e8,2025-04-22,00:48:34,Falcon 9 Block 5,Bandwagon 3 (Dedicated Mid-Inclination Rideshare),"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,95.0,
a164daf8-31df-4d34-bf67-5ec41b3a9f9b,2025-04-24,09:17:31,Long March 2F/G,Shenzhou 20,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
a4f7594c-1391-4cfe-9c2b-f3abc59c3eca,2025-04-25,01:52:40,Falcon 9 Block 5,Starlink Group 6-74,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,99.0,
361bd92a-4f69-42f4-b2e4-c5c76b61c030,2025-04-27,15:54:00,Long March 3B/E,Tianlian 2-05,"Xichang Satellite Launch Center, People's Republic of China",China,Launch Successful,,
8bfe9ea6-71b9-4642-be1c-c87c098e480b,2025-04-28,02:09:40,Falcon 9 Block 5,Starlink Group 12-23,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,90.0,
eba3b1ed-3b47-4f45-9719-168f6470d8b6,2025-04-28,20:10:00,Long March 5B/YZ-2,SatNet LEO Group 03,"Wenchang Space Launch Site, People's Republic of China",China,Launch Successful,,
b1605acf-4f76-4c80-9d3c-6d856dbd8a76,2025-04-28,20:42:30,Falcon 9 Block 5,Starlink Group 11-9,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
fac9159b-5960-464b-bc04-9879d30bb3cd,2025-04-28,23:01:00,Atlas V 551,Project Kuiper (KA-01),"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,75.0,
306fbca9-d41b-44fa-b6aa-f14a7e3b887d,2025-04-29,02:34:10,Falcon 9 Block 5,Starlink Group 12-10,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,75.0,
ccbd07da-d3c7-4b22-a5ee-cb190f6e06b0,2025-04-29,09:15:52,Vega-C,Biomass,"Guiana Space Centre, French Guiana",French Guiana,Launch Successful,,
d6dd6900-332e-4e9e-89b8-dfa4ba285822,2025-04-29,13:37:00,Firefly Alpha,FLTA006 (Message in a Booster),"Vandenberg SFB, CA, USA",United States of America,Launch Failure,90.0,
1a105ccb-e59f-48e8-b853-c424bd8cc699,2025-05-02,01:51:10,Falcon 9 Block 5,Starlink Group 6-75,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,99.0,
8ffb4866-43c9-46c1-aaac-05bd37891b0a,2025-05-04,08:54:40,Falcon 9 Block 5,Starlink Group 6-84,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,60.0,
d5e8b971-0138-42d7-a6ba-7d43bf529d5e,2025-05-07,01:17:20,Falcon 9 Block 5,Starlink Group 6-93,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,85.0,
7b685ef7-f610-413f-bd4a-cc58aed97be2,2025-05-10,00:19:50,Falcon 9 Block 5,Starlink Group 15-3,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
ebed9e27-bbd3-4c9c-a254-100ef978dd85,2025-05-10,06:28:00,Falcon 9 Block 5,Starlink Group 6-91,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,55.0,
3840ded6-17a8-46f8-89dd-4cf0613726a5,2025-05-11,13:27:00,Long March 6A,Yaogan 40 Group 02,"Taiyuan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
d177aef3-da3a-4b86-8c88-ab6de684eeb4,2025-05-12,18:09:00,Long March 3C/E,TJSW-19,"Xichang Satellite Launch Center, People's Republic of China",China,Launch Successful,,
0ab25471-b026-4252-93ab-89d91c1a7f4d,2025-05-13,01:15:10,Falcon 9 Block 5,Starlink Group 15-4,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
1166593d-ea03-42eb-b44d-80d7bd09c39a,2025-05-13,05:02:20,Falcon 9 Block 5,Starlink Group 6-83,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,90.0,
25c80fb0-4eba-4624-8163-9e5ace26bd19,2025-05-14,04:12:00,Long March 2D,Space Computing Constellation,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
05eef4ad-acc0-490d-822e-ce1c98f37c11,2025-05-14,16:38:50,Falcon 9 Block 5,Starlink Group 6-67,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,95.0,
17b4ef9c-7ee9-4a2a-a57e-dd973ecf573b,2025-05-16,13:43:50,Falcon 9 Block 5,Starlink Group 15-5,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
35cd0984-b80f-4bc9-9d7a-ead47a40bccd,2025-05-17,04:12:00,Zhuque-2E,6 satellites,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
a150bf95-0152-410d-9657-423608ddfab4,2025-05-17,08:17:00,Electron,The Sea God Sees (iQPS Launch 2),"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",New Zealand,Launch Successful,,
e6d98870-9a89-4cca-bbd1-511eed4bf2ce,2025-05-18,00:29:00,PSLV-XL,EOS-09 (RISAT-1B),"Satish Dhawan Space Centre, India",India,Launch Failure,,
0a8bf8c3-9f75-4fe9-a13d-9419eb09f432,2025-05-19,07:38:00,Ceres-1S,Tianqi 16-18 & 20,Sea Launch,China,Launch Successful,,
59831598-6413-41fb-ae61-ad731c05dc4f,2025-05-20,11:50:00,Long March 7A,ChinaSat 3B,"Wenchang Space Launch Site, People's Republic of China",China,Launch Successful,,
38782ad8-6826-4594-bcca-ddcee8ff25e4,2025-05-21,03:19:10,Falcon 9 Block 5,Starlink Group 12-15,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,95.0,
82cbee8b-4a94-4bff-a444-328b8db4da78,2025-05-21,04:05:00,Kinetica 1,6 satellites,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
b8eec19b-3974-4468-a15a-180e5af5071a,2025-05-23,08:36:00,Soyuz 2.1b/Fregat-M,Kosmos 2588,"Plesetsk Cosmodrome, Russian Federation",Russia,Launch Successful,,
b37179f7-1d22-4398-bd58-1d50d9d58344,2025-05-23,22:32:20,Falcon 9 Block 5,Starlink Group 11-16,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
2f3402d8-998f-4659-a5f6-ced132098d2f,2025-05-24,17:19:10,Falcon 9 Block 5,Starlink Group 12-22,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,80.0,
02e56635-63a6-4abc-9f27-1e30f23bc7e1,2025-05-27,16:57:15,Falcon 9 Block 5,Starlink Group 17-1,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
1c2d7f7c-20d1-4764-8be5-f5e651e6724e,2025-05-28,13:30:00,Falcon 9 Block 5,Starlink Group 10-32,"Kennedy Space Center, FL, USA",United States of America,Launch Successful,80.0,
66be38aa-d9d9-4b71-8522-45e06677b2e0,2025-05-28,17:31:00,Long March 3B/E,Tianwen-2,"Xichang Satellite Launch Center, People's Republic of China",China,Launch Successful,,
1e034f32-7384-4dd8-ba07-fe284fd8519e,2025-05-29,04:12:00,Long March 4B,Shijian 26,"Jiuquan Satellite Launch Center, People's Republic of China",China,Launch Successful,,
7abd2e55-aee8-42f5-8eb2-b44dfda45708,2025-05-30,17:37:59,Falcon 9 Block 5,GPS III SV08,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,50.0,
53264b64-3f01-4745-a900-f5596c0e4ef8,2025-05-31,20:10:00,Falcon 9 Block 5,Starlink Group 11-18,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
96f437cb-83c1-414b-8e32-d0e1bd6c265b,2025-06-02,23:57:00,Electron,Full Stream Ahead (BlackSky Gen-3 2),"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",New Zealand,Launch Successful,,
0c4546c7-80f2-4a0b-8580-f9f62767e326,2025-06-03,04:43:40,Falcon 9 Block 5,Starlink Group 12-19,"Cape Canaveral SFS, FL, USA",United States of America,Launch Successful,65.0,
93f37c4a-f5d5-4c5d-b21a-a618c8540918,2025-06-04,23:40:30,Falcon 9 Block 5,Starlink Group 11-22,"Vandenberg SFB, CA, USA",United States of America,Launch Successful,,
